stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,model_node_id,osm_node_id,node_ssid,parent_station
11891,,Rice St & Sears Entrance,Across from N,44.95421500000001,-93.105825,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11891,0,1.0,68705,187917230,47690e893bf7b9f734e5b92a6ce4bc82,
11893,,Rice St & University Ave,Near side N,44.955639,-93.10582,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11893,0,1.0,134504,695054748,5ed9d6acf39819bd990643adc50d7f42,
11896,,Rice St & Sears,Near side S,44.954149,-93.106134,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11896,0,1.0,134506,695054749,708712bfd66269f53a52c702cd41f914,
11897,,Rice St & St Anthony Ave,Near side S,44.952297,-93.106146,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11897,0,1.0,134498,695054738,5cbc63c6b139020f876f23b13f0f6b19,
11903,,Jackson St & 14th St,Across from N,44.955244,-93.096097,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11903,0,1.0,36532,187848424,c0d86a6719401550c33365609be7eac8,
11904,,Jackson St & 14th St,Near side S,44.955299,-93.096553,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11904,0,1.0,27313,695328254,f9aaf3b5b81606dd4c3188c2645c1d35,
11912,,Cedar St & 10th St,Near side S,44.950447,-93.097561,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11912,0,1.0,23486,695316160,f3a61ad84fe31f132cc705b3e51a1b79,
11916,,LaFayette Rd & 8th St,Near side N,44.954091,-93.083753,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11916,0,1.0,160289,1200569598,d0956ff2bc5e0571c7585706f0b27b19,
11918,,LaFayette Rd & Grove St,Near side N,44.955651,-93.08464,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11918,0,1.0,65489,187908324,81faf22e15e47f8be4abc18ba32fb5ba,
11923,,LaFayette Rd & Grove St,Near side S,44.95584,-93.084926,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11923,0,1.0,160240,1200569431,9f67eb891fd09632b5401cb6ca5a2a0d,
11925,,LaFayette Rd & 8th St,Near side S,44.954132,-93.084143,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11925,0,1.0,160264,1200569497,6187815657ce4e2f3c481a8bf0f0af3e,
11928,,Kellogg Blvd & Broadway St,Far side E,44.948721,-93.083241,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11928,0,1.0,45985,187866382,047b13845620230f82930d5ede374bad,
11940,,Kellogg Blvd & Minnesota St,Near side W,44.945305,-93.090416,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=11940,0,1.0,92316,517224690,867b32aabed35c1a677737c1a207b708,
1235,,Minnesota St & 6th St,Near side N,44.947589,-93.092726,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1235,0,1.0,41991,187858777,c97b7d4636d88b8dd85cfb12b14c0ad3,
1238,,Wabasha St & 7th St,Far side N,44.948436,-93.097016,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1238,0,1.0,100806,519337000,53c505ad928a75daeabe57ae3b22907b,
1246,,Cedar St & 5th St,Far side S,44.94591,-93.092975,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=1246,0,1.0,70839,187923583,dcd6d80e71b7c32c9fb131c172c01964,
13709,,Burns Ave & Earl St,Near side W,44.948752,-93.05562,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13709,0,1.0,59012,187893390,e6404c5d89dce9d12a6595e7847146a4,
13725,,Pacific St & Cypress St,Across from W,44.951354,-93.058466,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13725,0,2.0,62188,187899997,0006353ffdabe849f91ec750bf1a889b,
13726,,Pacific St & Forest St,Across from W,44.951361,-93.060912,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13726,0,2.0,61203,187897748,c2d96bf0a84c643128a482c11aae33d1,
13727,,Pacific St & Mound St,Across from W,44.951566,-93.06308,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13727,0,1.0,62186,187899995,fdbc14fcadbeccba8ac560bddd15e79f,
13729,,Plum St & Mounds Blvd,Near side W,44.950682,-93.068381,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13729,0,1.0,41487,187857672,5bc38cad91ca40ab9377e93d2daecc9e,
13730,,Plum St & Mounds Blvd,Far side E,44.950611,-93.068272,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13730,0,1.0,41487,187857672,5bc38cad91ca40ab9377e93d2daecc9e,
13731,,Pacific St & Cherry St,Near side E,44.951513,-93.064997,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13731,0,1.0,55555,187886526,a88190d9c08417282527106cee4b83a1,
13732,,Pacific St & Mound St,Near side E,44.951462,-93.063119,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13732,0,1.0,62186,187899995,fdbc14fcadbeccba8ac560bddd15e79f,
13733,,Pacific St & Forest St,Near side E,44.951263,-93.060962,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13733,0,1.0,61203,187897748,c2d96bf0a84c643128a482c11aae33d1,
13734,,Pacific St & Cypress St,Near side E,44.95125,-93.058401,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=13734,0,1.0,62188,187899997,0006353ffdabe849f91ec750bf1a889b,
